cycle,bootstrap,component,similarity
0506,171,IC3,0.9948874864178887
0506,172,IC1,0.7698358111154302
0506,172,IC2,0.9301471618805781
0506,172,IC3,0.9742947406379816
0506,173,IC1,0.3765339441939045
0506,173,IC2,0.9564766312328874
0506,173,IC3,0.9736173633612542
0506,174,IC1,0.7974336779631788
0506,174,IC2,0.9957940157910409
0506,174,IC3,0.9809058048819901
0506,175,IC1,0.6957930190744096
0506,175,IC2,0.6554705486763366
0506,175,IC3,0.9794779082641736
0506,176,IC1,0.6497518656396583
0506,176,IC2,0.7060138123194393
0506,176,IC3,0.9773897760183811
0506,177,IC1,0.8261503721171004
0506,177,IC2,0.9943638922295456
0506,177,IC3,0.9880016023481453
0506,178,IC1,0.727957171319432
0506,178,IC2,0.8165696996777203
0506,178,IC3,0.9704147402964545
0506,179,IC1,0.6716343433202611
0506,179,IC2,0.9873587615279227
0506,179,IC3,0.9937461421468496
0506,180,IC1,0.6263855141401204
0506,180,IC2,0.6410303646161439
0506,180,IC3,0.9799445411770054
0506,181,IC1,0.9584898180101276
0506,181,IC2,0.9972257312821339
0506,181,IC3,0.9836890938924616
0506,182,IC1,0.34683538943993286
0506,182,IC2,0.9667152943040794
0506,182,IC3,0.9804535962867793
0506,183,IC1,0.762579101562131
0506,183,IC2,0.8591734093688541
0506,183,IC3,0.9754507732369468
0506,184,IC1,0.9129363503185454
0506,184,IC2,0.9949916624237221
0506,184,IC3,0.9473153819455029
0506,185,IC1,0.5483656810396633
0506,185,IC2,0.9788858965300632
0506,185,IC3,0.9904280251779763
0506,186,IC1,0.8213509122348923
0506,186,IC2,0.9032686920413429
0506,186,IC3,0.9863832043876756
0506,187,IC1,0.6959280382362052
0506,187,IC2,0.697018330547432
0506,187,IC3,0.9834712861461816
0506,188,IC1,0.7302516959642582
0506,188,IC2,0.8337673358534754
0506,188,IC3,0.9771283254612455
0506,189,IC1,0.8122328335530641
0506,189,IC2,0.9886804842714949
0506,189,IC3,0.9784174137347383
0506,190,IC1,0.5132999787319046
0506,190,IC2,0.9653716545201066
0506,190,IC3,0.9916792211817875
0506,191,IC1,0.7651662058417985
0506,191,IC2,0.9978139020782862
0506,191,IC3,0.8166493577082168
0506,192,IC1,0.9483062460044644
0506,192,IC2,0.9977450896070887
0506,192,IC3,0.9987293677666724
0506,193,IC1,0.860133481780798
0506,193,IC2,0.9938142170333962
0506,193,IC3,0.904998964474293
0506,194,IC1,0.7133719044008388
0506,194,IC2,0.8167336501073319
0506,194,IC3,0.9770236240437514
0506,195,IC1,0.6998348964738875
0506,195,IC2,0.7998028553368415
0506,195,IC3,0.9685278524426388
0506,196,IC1,0.6514927856830388
0506,196,IC2,0.6770149220823902
0506,196,IC3,0.968712983852637
0506,197,IC1,0.6445016254855759
0506,197,IC2,0.6592364077265642
0506,197,IC3,0.9779383716483716
0506,198,IC1,0.7712976559090698
0506,198,IC2,0.9810117606319402
0506,198,IC3,0.94997865654953
0506,199,IC1,0.6911843516189013
0506,199,IC2,0.6683723660072212
0506,199,IC3,0.9864981128619403
0708,0,IC1,0.9939305442219906
0708,0,IC2,0.9983125207233764
0708,0,IC3,0.9938761540087792
0708,1,IC1,0.9923056136085566
0708,1,IC2,0.9918191176713671
0708,1,IC3,0.9872454344435104
0708,2,IC1,0.9931310132335843
0708,2,IC2,0.9957259339138461
0708,2,IC3,0.9967734173772245
0708,3,IC1,0.9889116081217932
0708,3,IC2,0.9940528435203793
0708,3,IC3,0.990798493777048
0708,4,IC1,0.9912897432871727
0708,4,IC2,0.9957936307221927
0708,4,IC3,0.9901765194031398
0708,5,IC1,0.9663721347215086
0708,5,IC2,0.980224664875596
0708,5,IC3,0.989181969970452
0708,6,IC1,0.9868302311760321
0708,6,IC2,0.9939257618291659
0708,6,IC3,0.9820754403117906
0708,7,IC1,0.9920584545351945
0708,7,IC2,0.9897579457524401
0708,7,IC3,0.9939828541928053
0708,8,IC1,0.998879129739735
0708,8,IC2,0.9969320372541812
0708,8,IC3,0.9987845722794795
0708,9,IC1,0.9838014554776433
0708,9,IC2,0.9867344815547407
0708,9,IC3,0.9941449601771638
0708,10,IC1,0.9854906535186998
0708,10,IC2,0.9958194137683303
0708,10,IC3,0.9813167897938321
0708,11,IC1,0.9911928493268813
0708,11,IC2,0.994015818813991
0708,11,IC3,0.9864108508787219
0708,12,IC1,0.9946585025684482
0708,12,IC2,0.9903516732609472
0708,12,IC3,0.9982517663566828
0708,13,IC1,0.9412224645617933
0708,13,IC2,0.935036887473143
0708,13,IC3,0.8823716979543923
0708,14,IC1,0.9652977297650915
0708,14,IC2,0.9824158253489779
0708,14,IC3,0.9882048487656727
0708,15,IC1,0.9639722806631337
0708,15,IC2,0.9746206050835278
0708,15,IC3,0.9755740282994113
0708,16,IC1,0.9937918643832508
0708,16,IC2,0.9900322320979199
0708,16,IC3,0.9980947330554909
0708,17,IC1,0.9978005917706914
0708,17,IC2,0.9958145066389634
0708,17,IC3,0.9979889289870425
0708,18,IC1,0.9929431514558769
0708,18,IC2,0.992722522959528
0708,18,IC3,0.9979228160033714
0708,19,IC1,0.9950999126437028
0708,19,IC2,0.9965462109543056
0708,19,IC3,0.9895011840216082
0708,20,IC1,0.9987221595993857
