cycle,bootstrap,component,A,G,AG
0506,109,IC1,0.007717554251311714,0.05190818389016144,-0.0342592879244758
0506,109,IC2,0.07809971970216249,0.06027547608516144,-0.032063526238912086
0506,109,IC3,0.16312741993415375,0.05820803369664916,-0.07390630864412953
0506,110,IC1,0.14149113692464949,0.03722680330687695,-0.04536617177133124
0506,110,IC2,0.07666128878987094,0.008579955351618452,0.022198795826531857
0506,110,IC3,0.24253773095118422,0.07476538891546466,-0.06460341716638514
0506,111,IC1,0.057942429470950824,-0.02417531729389591,-0.02476731221344199
0506,111,IC2,0.10907292921668235,0.027481683421351447,-0.05265557593956423
0506,111,IC3,0.12574454348717173,0.0956408384051353,-0.04325512352367279
0506,112,IC1,0.016661065959428054,0.009203001022150216,-0.009415960936689966
0506,112,IC2,0.06985208228122976,0.015145743971738243,-0.04592629832672106
0506,112,IC3,0.12339853480509194,0.0767468414366825,-0.013604535915026115
0506,113,IC1,0.008632104356016655,-0.036550799685907756,-0.04827952201022699
0506,113,IC2,0.09115887881908769,0.052540636197686584,0.021467004419710767
0506,113,IC3,0.11248011972837772,0.10256650581276013,-0.055324156393535044
0506,114,IC1,0.1515713017260601,0.051254805288923816,-0.07010326759336878
0506,114,IC2,0.16602470408402986,-0.004285065373638754,-0.05957543549732232
0506,114,IC3,0.11597312736371523,0.047494790304582105,-0.05263361998918631
0506,115,IC1,0.030997726875430932,0.07078800950473395,-0.07035523237553895
0506,115,IC2,0.04642420962292427,-0.007587340790249364,0.015999666579752318
0506,115,IC3,0.17323847488660044,0.07138513767724673,-0.023706962016052595
0506,116,IC1,0.042062396070231725,0.05337563519793319,0.04172515143555559
0506,116,IC2,0.07917443453083414,0.031242440245490544,0.035135197100066004
0506,116,IC3,0.05062502274976618,0.004281249282666094,-0.025383870581869777
0506,117,IC1,0.07332189708271564,0.02900545498396968,-0.0055157559704963645
0506,117,IC2,-0.011474894579667124,0.04414660393832324,-0.008336310471891243
0506,117,IC3,0.12138352598026808,0.07267795393024416,-0.049527826209713355
0506,118,IC1,0.021158646917443236,0.07250857830903168,-0.06366838594330185
0506,118,IC2,0.06838738713690401,0.023434829037691354,0.035860803352169304
0506,118,IC3,0.08424622572182265,0.09216684847197762,-0.0698495124029048
0506,119,IC1,-0.05082805010393517,-0.011711492409086706,-0.05833892945080682
0506,119,IC2,0.05294534971528423,0.031109215769039314,-0.0026862476815860802
0506,119,IC3,0.11724064730683352,0.053068268415358825,-0.06451786355626705
0506,120,IC1,0.10242786660520843,0.04543198022868565,-0.06522116027068794
0506,120,IC2,0.004950463504536854,0.024032628860238575,-0.04868881505046421
0506,120,IC3,0.12629621412193467,0.055851251630936266,-0.08702574762186406
0506,121,IC1,0.003757894635378383,0.011571604226298268,-0.016259860418889542
0506,121,IC2,0.04555528669417249,0.026977370441101056,-0.057365133842042906
0506,121,IC3,0.15442213621517262,0.06358492216585312,-0.01754481287794926
0506,122,IC1,-0.012848619691129375,0.018545657784098474,-0.023047004456179677
0506,122,IC2,0.01826433183253237,0.1009042229272401,-0.058740445039165375
0506,122,IC3,0.11746852301387321,0.049281631327093955,-0.0185552376349434
0506,123,IC1,0.0073810449753600495,0.07729507307951518,-0.056992406327152925
0506,123,IC2,0.05180063646026592,0.02226512202136088,-0.0684389690576383
0506,123,IC3,0.11920602306712061,0.07219642957903065,-0.0340453738453406
0506,124,IC1,0.09478267155421327,0.0830667911829043,-0.059099080969142584
0506,124,IC2,0.11230816162364811,0.012773798971521234,-0.049864101739690525
